model,k,sim_metric,min_common,valid_mae,valid_rmse,valid_exact_acc,valid_within_0_5_acc,valid_within_1_0_acc,valid_like_acc,valid_precision,valid_recall,valid_f1,test_mae,test_rmse,test_exact_acc,test_within_0_5_acc,test_within_1_0_acc,test_like_acc,test_precision,test_recall,test_f1
ItemCF,40,pearson,2,0.71968,0.921479,0.427213,0.427213,0.74169,0.629956,0.847704,0.408527,0.551347,0.72214,0.922171,0.431918,0.431918,0.736884,0.623949,0.832837,0.403499,0.543621
ItemCF,80,pearson,2,0.720975,0.923277,0.427313,0.427313,0.740589,0.628454,0.848154,0.404929,0.548155,0.723594,0.923109,0.427813,0.427813,0.737485,0.622046,0.832644,0.399351,0.539803
ItemCF,20,pearson,2,0.721098,0.923351,0.429916,0.429916,0.74139,0.631858,0.846465,0.413564,0.55565,0.724132,0.925285,0.426111,0.426111,0.734782,0.625751,0.825523,0.413059,0.550613
ItemCF,10,pearson,2,0.728362,0.934117,0.424409,0.424409,0.736684,0.635563,0.833739,0.431193,0.568414,0.732585,0.938057,0.424209,0.424209,0.731278,0.629656,0.824938,0.422439,0.55875
ItemCF,80,cosine,2,0.739107,0.940265,0.415999,0.415999,0.728975,0.61674,0.846616,0.380284,0.524826,0.740637,0.940695,0.414497,0.414497,0.720965,0.60843,0.829633,0.370671,0.512405
ItemCF,40,cosine,2,0.740013,0.941775,0.418702,0.418702,0.726272,0.617641,0.839578,0.38694,0.529738,0.74081,0.941899,0.414197,0.414197,0.723568,0.616139,0.830882,0.387266,0.528297
ItemCF,20,cosine,2,0.742353,0.94619,0.420404,0.420404,0.729075,0.630256,0.843267,0.412304,0.553824,0.746627,0.949986,0.417101,0.417101,0.720465,0.621245,0.821468,0.405844,0.543281
ItemCF,10,cosine,2,0.749736,0.959615,0.417701,0.417701,0.722867,0.636464,0.832414,0.434251,0.570753,0.75612,0.965917,0.414497,0.414497,0.71686,0.624549,0.812762,0.420455,0.554208
ItemCF,5,pearson,2,0.75112,0.966185,0.413997,0.413997,0.731678,0.636564,0.818843,0.445584,0.57712,0.755521,0.971038,0.412695,0.412695,0.722267,0.630056,0.807859,0.43759,0.567685
ItemCF,5,cosine,2,0.775243,0.99303,0.406288,0.406288,0.711153,0.629355,0.801363,0.444145,0.571528,0.772165,0.99125,0.411894,0.411894,0.712855,0.627453,0.795079,0.443001,0.568979
